expert,video_count_for_expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,transcript_file,local_transcript_file
Thibaut Souyris,7,1,SalesLabs,ywsIfW3qrFQ,How to find 10 new prospects to contact every day,https://www.youtube.com/watch?v=ywsIfW3qrFQ,167.0,ok,2388,research/youtube-transcripts/thibaut-souyris/1-ywsIfW3qrFQ-How to find 10 new prospects to contact every day.txt.txt,research/youtube-transcripts/thibaut-souyris/1-ywsIfW3qrFQ-How to find 10 new prospects to contact every day.txt.txt
Thibaut Souyris,7,2,SalesLabs,8SEMmTePuVE,"How to build and execute the Ultimate Prospecting Sequence, with Thibaut Souyris and Alan Ruchtein.",https://www.youtube.com/watch?v=8SEMmTePuVE,856.0,ok,16530,"research/youtube-transcripts/thibaut-souyris/2-8SEMmTePuVE-How to build and execute the Ultimate Prospecting Sequence, with Thibaut Souyris and Alan Ruchtein..txt.txt","research/youtube-transcripts/thibaut-souyris/2-8SEMmTePuVE-How to build and execute the Ultimate Prospecting Sequence, with Thibaut Souyris and Alan Ruchtein..txt.txt"
Thibaut Souyris,7,3,SalesLabs,_hMaCMbfFqA,5 human mistakes salespeople keep making (and what to do about them),https://www.youtube.com/watch?v=_hMaCMbfFqA,1541.0,ok,26708,research/youtube-transcripts/thibaut-souyris/3-_hMaCMbfFqA-5 human mistakes salespeople keep making (and what to do about them).txt.txt,research/youtube-transcripts/thibaut-souyris/3-_hMaCMbfFqA-5 human mistakes salespeople keep making (and what to do about them).txt.txt
Thibaut Souyris,7,4,SalesLabs,W66EK8ouMLM,Using LinkedIn for warm outreach by Thibaut Souyris,https://www.youtube.com/watch?v=W66EK8ouMLM,1763.0,ok,28824,research/youtube-transcripts/thibaut-souyris/4-W66EK8ouMLM-Using LinkedIn for warm outreach by Thibaut Souyris.txt.txt,research/youtube-transcripts/thibaut-souyris/4-W66EK8ouMLM-Using LinkedIn for warm outreach by Thibaut Souyris.txt.txt
Thibaut Souyris,7,5,SalesLabs,whWSIbr-xcE,Don't pitch in your outreach​,https://www.youtube.com/watch?v=whWSIbr-xcE,326.0,ok,5983,research/youtube-transcripts/thibaut-souyris/5-whWSIbr-xcE-Don't pitch in your outreach​.txt.txt,research/youtube-transcripts/thibaut-souyris/5-whWSIbr-xcE-Don't pitch in your outreach​.txt.txt
Thibaut Souyris,7,6,SalesLabs,tNZygbZ1E6M,Your LinkedIn Profile is your Landing Page​,https://www.youtube.com/watch?v=tNZygbZ1E6M,242.0,ok,4569,research/youtube-transcripts/thibaut-souyris/6-tNZygbZ1E6M-Your LinkedIn Profile is your Landing Page​.txt.txt,research/youtube-transcripts/thibaut-souyris/6-tNZygbZ1E6M-Your LinkedIn Profile is your Landing Page​.txt.txt
Thibaut Souyris,7,7,SalesLabs,t7OgqGycXew,"Building a personal brand is overrated, here's why",https://www.youtube.com/watch?v=t7OgqGycXew,322.0,ok,5995,"research/youtube-transcripts/thibaut-souyris/7-t7OgqGycXew-Building a personal brand is overrated, here's why.txt.txt","research/youtube-transcripts/thibaut-souyris/7-t7OgqGycXew-Building a personal brand is overrated, here's why.txt.txt"
