expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,local_transcript_file
Sam McKenna,1,Samantha McKenna - #samsales,y5mzgEjY9TA,LinkedIn Sales Navigator Webinar Replay: 3 Searches That Fill Your Pipeline Fast,https://www.youtube.com/watch?v=y5mzgEjY9TA,3182.0,ok,59972,research/youtube-transcripts/sam-mckenna/1-y5mzgEjY9TA-LinkedIn Sales Navigator Webinar Replay 3 Searches That Fill Your Pipeline Fast.txt
Sam McKenna,2,Samantha McKenna - #samsales,LGk4dtwsFJc,Creating Urgency with Microsoft,https://www.youtube.com/watch?v=LGk4dtwsFJc,210.0,ok,3954,research/youtube-transcripts/sam-mckenna/2-LGk4dtwsFJc-Creating Urgency with Microsoft.txt
Sam McKenna,3,Samantha McKenna - #samsales,1oSzdP5ey30,Part 8:  The Breakup Email - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=1oSzdP5ey30,397.0,ok,7175,research/youtube-transcripts/sam-mckenna/3-1oSzdP5ey30-Part 8 The Breakup Email - Samantha McKenna with Salesloft.txt
Sam McKenna,4,Samantha McKenna - #samsales,vjLe24GXu1I,Part 7: The Nurture Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=vjLe24GXu1I,198.0,ok,3270,research/youtube-transcripts/sam-mckenna/4-vjLe24GXu1I-Part 7 The Nurture Phase - Samantha McKenna with Salesloft.txt
Sam McKenna,5,Samantha McKenna - #samsales,lyxdgDNlFx4,Part 6:  The Active Selling Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=lyxdgDNlFx4,305.0,ok,4833,research/youtube-transcripts/sam-mckenna/5-lyxdgDNlFx4-Part 6 The Active Selling Phase - Samantha McKenna with Salesloft.txt
Sam McKenna,6,Samantha McKenna - #samsales,GdFKRDQup0Q,Part 5: Email One - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=GdFKRDQup0Q,424.0,ok,6317,research/youtube-transcripts/sam-mckenna/6-GdFKRDQup0Q-Part 5 Email One - Samantha McKenna with Salesloft.txt
Sam McKenna,7,Samantha McKenna - #samsales,WPMzxZodePU,Part 4: The Buyer Persona - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=WPMzxZodePU,341.0,ok,5299,research/youtube-transcripts/sam-mckenna/7-WPMzxZodePU-Part 4 The Buyer Persona - Samantha McKenna with Salesloft.txt
