expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,local_transcript_file
Richard Harris,1,Richard Harris,7vm5t6LGpbg,"Stop putting Surf & Sales on your bucket list. 

Join us this November surfandsales.com 

Most sales",https://www.youtube.com/watch?v=7vm5t6LGpbg,39.0,ok,756,research/youtube-transcripts/richard-harris/1-7vm5t6LGpbg-Stop putting Surf & Sales on your bucket list. Join us this November surfandsales.com Most sales.txt
Richard Harris,2,Richard Harris,b9mtQvWITBI,Mastering Sales Discovery Skills - Surface Pains vs. Core Pains,https://www.youtube.com/watch?v=b9mtQvWITBI,117.0,ok,1754,research/youtube-transcripts/richard-harris/2-b9mtQvWITBI-Mastering Sales Discovery Skills - Surface Pains vs. Core Pains.txt
Richard Harris,3,Richard Harris,qFNNB8JRdhk,The Secret of KPIs,https://www.youtube.com/watch?v=qFNNB8JRdhk,62.0,ok,984,research/youtube-transcripts/richard-harris/3-qFNNB8JRdhk-The Secret of KPIs.txt
Richard Harris,4,Richard Harris,e_uHTxx3fdA,Top tip for client's long-term relationships,https://www.youtube.com/watch?v=e_uHTxx3fdA,86.0,ok,1387,research/youtube-transcripts/richard-harris/4-e_uHTxx3fdA-Top tip for client's long-term relationships.txt
Richard Harris,5,Richard Harris,WqF4KJIYfsA,It's ok to suck at your job!,https://www.youtube.com/watch?v=WqF4KJIYfsA,63.0,ok,964,research/youtube-transcripts/richard-harris/5-WqF4KJIYfsA-It's ok to suck at your job!.txt
Richard Harris,6,Richard Harris,HVGUij54Jk8,The secret of success in a down market,https://www.youtube.com/watch?v=HVGUij54Jk8,104.0,ok,1959,research/youtube-transcripts/richard-harris/6-HVGUij54Jk8-The secret of success in a down market.txt
Richard Harris,7,Richard Harris,YmQZB1xFb0s,Sales Training,https://www.youtube.com/watch?v=YmQZB1xFb0s,62.0,ok,1118,research/youtube-transcripts/richard-harris/7-YmQZB1xFb0s-Sales Training.txt
