expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,local_transcript_file
Jason Bay,1,Jason Bay,mvuBok0Izcw,"Motive CRO on moving up-market and leading an org of 3,000+",https://www.youtube.com/watch?v=mvuBok0Izcw,3126.0,ok,47428,"research/youtube-transcripts/jason-bay/1-mvuBok0Izcw-Motive CRO on moving up-market and leading an org of 3,000+.txt"
Jason Bay,2,Jason Bay,cS1Nh_62D4g,"World-class enablement, AE self-sourcing, and onboarding",https://www.youtube.com/watch?v=cS1Nh_62D4g,2841.0,ok,52118,"research/youtube-transcripts/jason-bay/2-cS1Nh_62D4g-World-class enablement, AE self-sourcing, and onboarding.txt"
Jason Bay,3,Jason Bay,jbNjUkUdeFY,From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt,https://www.youtube.com/watch?v=jbNjUkUdeFY,3819.0,ok,69214,research/youtube-transcripts/jason-bay/3-jbNjUkUdeFY-From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt.txt
Jason Bay,4,Jason Bay,o7Tc5n8LrU8,Scaling unconventional outbound with Sr Dir of Sales Development at Rippling,https://www.youtube.com/watch?v=o7Tc5n8LrU8,3327.0,ok,64301,research/youtube-transcripts/jason-bay/4-o7Tc5n8LrU8-Scaling unconventional outbound with Sr Dir of Sales Development at Rippling.txt
Jason Bay,5,Jason Bay,dzeS1HGBxIE,“Our BDR booked 7 meetings yesterday” with Paul Salamanca,https://www.youtube.com/watch?v=dzeS1HGBxIE,3280.0,ok,57859,research/youtube-transcripts/jason-bay/5-dzeS1HGBxIE-“Our BDR booked 7 meetings yesterday” with Paul Salamanca.txt
Jason Bay,6,Jason Bay,YdrknrnFWVU,Get reps to drop their guard,https://www.youtube.com/watch?v=YdrknrnFWVU,51.0,ok,959,research/youtube-transcripts/jason-bay/6-YdrknrnFWVU-Get reps to drop their guard.txt
Jason Bay,7,Jason Bay,m-TPpWzqPJU,"Disagree and commit, then learn",https://www.youtube.com/watch?v=m-TPpWzqPJU,39.0,ok,782,"research/youtube-transcripts/jason-bay/7-m-TPpWzqPJU-Disagree and commit, then learn.txt"
