rank,expert,slug,company,source_type,video_id,title,url,channel,channel_url,duration,upload_date
2,John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,youtube_search_appearance,ZOGuhfBRKpU,"An Unfiltered Talk with John Rush: Directories, AI SEO & Building To Win",https://www.youtube.com/watch?v=ZOGuhfBRKpU,Frey Chu,https://www.youtube.com/channel/UCn_9IIusig3hsdaiH0e_pLA,1953.0,
2,John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,youtube_search_appearance,V_lemYU_kcU,"He Built 26 AI Products in 3 Years (No VCs, $3M ARR) | John Rush",https://www.youtube.com/watch?v=V_lemYU_kcU,Angel Poon,https://www.youtube.com/channel/UCbHAbP7Fh1cYRCNvJO6J5TQ,3347.0,
2,John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,youtube_search_appearance,SiRlIMtZygI,He Makes $3M/Year From Tiny AI Tools (Here’s How You Can Too),https://www.youtube.com/watch?v=SiRlIMtZygI,Chris Koerner on The Koerner Office Podcast,https://www.youtube.com/channel/UCn4dfcINwD3_z41IDFPsFcA,3095.0,
2,John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,youtube_search_appearance,4IyJm1i__ag,"Claude Code SEO: How I Got 50,000 Clicks Per Month (Steal This)",https://www.youtube.com/watch?v=4IyJm1i__ag,Jono Catliff,https://www.youtube.com/channel/UCnzxPyNnn8jk4bHFk3JUBhA,4096.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era I Ft. Ross Simmonds & Sam Garg",https://www.youtube.com/watch?v=du26Ywa-CtA,,,3482.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,h3850aaD_LM,Getting Started with Writesonic AI Search (GEO Dashboard Tour),https://www.youtube.com/watch?v=h3850aaD_LM,,,851.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,Eldn4PABl-k,ChatGPT Just Became a Paid Ad Platform Overnight. Here's What Marketers Must Do Right Now!,https://www.youtube.com/watch?v=Eldn4PABl-k,,,343.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,_udNpKV7_DQ,Is Your SEO Outdated? 5 Crucial Steps for 2026 Success,https://www.youtube.com/watch?v=_udNpKV7_DQ,,,558.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,dkd3ydw9iH0,Organic Marketing in the Age of AI Search | Krista Doyle (Fan Out) × Samanyou Garg (Writesonic),https://www.youtube.com/watch?v=dkd3ydw9iH0,,,3455.0,
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,official_or_company_channel,iiS4fF7qNvE,Why AI Mentions Don't Drive Traffic (And What Actually Does),https://www.youtube.com/watch?v=iiS4fF7qNvE,,,458.0,
