expert,video_count_for_expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,transcript_file,local_transcript_file
Josh Braun,7,1,Josh Braun,hpXev0vUcvQ,How to Make a Cold Call,https://www.youtube.com/watch?v=hpXev0vUcvQ,112.0,ok,1985,research/youtube-transcripts/josh-braun/1-hpXev0vUcvQ-How to Make a Cold Call.txt.txt,research/youtube-transcripts/josh-braun/1-hpXev0vUcvQ-How to Make a Cold Call.txt.txt
Josh Braun,7,2,Josh Braun,_gnog7udq7A,"""What do you sell?"" How to Respond",https://www.youtube.com/watch?v=_gnog7udq7A,122.0,ok,2139,research/youtube-transcripts/josh-braun/2-_gnog7udq7A-What do you sell How to Respond.txt.txt,research/youtube-transcripts/josh-braun/2-_gnog7udq7A-What do you sell How to Respond.txt.txt
Josh Braun,7,3,Josh Braun,jmkjpDaic2o,How to Be Relaxed & Chill Cold Calling,https://www.youtube.com/watch?v=jmkjpDaic2o,76.0,ok,1316,research/youtube-transcripts/josh-braun/3-jmkjpDaic2o-How to Be Relaxed & Chill Cold Calling.txt.txt,research/youtube-transcripts/josh-braun/3-jmkjpDaic2o-How to Be Relaxed & Chill Cold Calling.txt.txt
Josh Braun,7,4,Josh Braun,jjvwoJm874g,Why You Can't Trust Salespeople,https://www.youtube.com/watch?v=jjvwoJm874g,97.0,ok,1576,research/youtube-transcripts/josh-braun/4-jjvwoJm874g-Why You Can't Trust Salespeople.txt.txt,research/youtube-transcripts/josh-braun/4-jjvwoJm874g-Why You Can't Trust Salespeople.txt.txt
Josh Braun,7,5,Josh Braun,NkndOJiRjCY,One Thing That Will Immediately Make You Better at Sales,https://www.youtube.com/watch?v=NkndOJiRjCY,84.0,ok,1405,research/youtube-transcripts/josh-braun/5-NkndOJiRjCY-One Thing That Will Immediately Make You Better at Sales.txt.txt,research/youtube-transcripts/josh-braun/5-NkndOJiRjCY-One Thing That Will Immediately Make You Better at Sales.txt.txt
Josh Braun,7,6,Josh Braun,HdWL8Pwdins,Selling Without Being Pushy,https://www.youtube.com/watch?v=HdWL8Pwdins,135.0,ok,2090,research/youtube-transcripts/josh-braun/6-HdWL8Pwdins-Selling Without Being Pushy.txt.txt,research/youtube-transcripts/josh-braun/6-HdWL8Pwdins-Selling Without Being Pushy.txt.txt
Josh Braun,7,7,Josh Braun,8H-cVQFxw78,How to Handle Rude People on Cold Calls,https://www.youtube.com/watch?v=8H-cVQFxw78,334.0,ok,4679,research/youtube-transcripts/josh-braun/7-8H-cVQFxw78-How to Handle Rude People on Cold Calls.txt.txt,research/youtube-transcripts/josh-braun/7-8H-cVQFxw78-How to Handle Rude People on Cold Calls.txt.txt
